Facility,Test_group,Test_number,Description,Result,Execution_time,Information,Output
Den,121,0,Dog,0,538,Red,
Den,519,1,Horse,0,987,Blue,
Patio,715,2,Cat,8,641,Brown,
Room,939,3,Horse,0,999,Red,
Den,902,4,Cat,0,853,Red,
Room,706,5,Cat,8,57,Blue,
Patio,687,6,Dog,0,348,Red,
Patio,311,7,Cat,0,386,Brown,
Patio,522,8,Horse,0,780,Maroon,
Room,960,9,Horse,0,766,Red,
Room,625,10,Mule,8,658,Purple,
Den,252,11,Dog,0,302,Maroon,
Patio,812,12,Pig,8,864,Maroon,
Room,525,13,Dog,0,73,Blue,
Shower,503,14,Pig,8,220,Brown,
Room,586,15,Dog,0,749,Purple,
Shower,751,16,Mule,8,752,Red,
Den,129,17,Horse,8,762,Purple,
Patio,455,18,Cat,0,322,Purple,
Den,695,19,Mule,8,299,Purple,
Kitchen,544,20,Cat,0,987,Maroon,
Shower,972,21,Dog,8,985,Purple,
Patio,182,22,Dog,8,303,Red,
Kitchen,766,23,Horse,0,751,Purple,
Patio,825,24,Cat,8,408,Maroon,
Shower,796,25,Dog,0,402,Purple,
Den,281,26,Cat,8,135,Maroon,
Room,149,27,Mule,0,772,Maroon,
Room,704,28,Mule,0,56,Maroon,
Patio,871,29,Pig,8,777,Purple,
Room,827,30,Pig,0,363,Brown,
Room,44,31,Pig,8,257,Maroon,
Den,67,32,Mule,8,502,Red,
Shower,225,33,Pig,0,248,Brown,
Patio,869,34,Mule,8,248,Maroon,
Den,495,35,Dog,8,403,Red,
Patio,909,36,Horse,8,687,Maroon,
Kitchen,826,37,Cat,8,592,Brown,
Kitchen,414,38,Mule,8,228,Red,
Shower,655,39,Dog,8,134,Red,
Patio,803,40,Horse,0,806,Purple,
Den,404,41,Pig,0,499,Brown,
Den,876,42,Dog,0,796,Maroon,
Room,769,43,Horse,8,318,Blue,
Shower,669,44,Dog,8,144,Purple,
Kitchen,948,45,Horse,0,685,Maroon,
Shower,502,46,Horse,0,269,Maroon,
Room,296,47,Dog,0,456,Blue,
Shower,297,48,Mule,0,985,Red,
Kitchen,968,49,Horse,0,93,Red,
Den,245,50,Dog,0,416,Blue,
Patio,225,51,Dog,8,143,Red,
Shower,791,52,Pig,8,391,Purple,
Den,361,53,Dog,8,991,Purple,
Kitchen,830,54,Mule,8,129,Blue,
Den,152,55,Dog,8,801,Purple,
Shower,20,56,Pig,8,677,Red,
Kitchen,958,57,Mule,8,247,Maroon,
Patio,328,58,Pig,0,969,Red,
Kitchen,867,59,Mule,8,344,Maroon,
Room,847,60,Mule,8,451,Purple,
Kitchen,666,61,Cat,8,760,Red,
Den,551,62,Mule,0,241,Blue,
Shower,757,63,Pig,0,692,Red,
Shower,688,64,Cat,8,491,Brown,
Kitchen,717,65,Pig,0,886,Blue,
Patio,178,66,Horse,0,36,Red,
Shower,758,67,Horse,0,223,Maroon,
Den,245,68,Horse,8,659,Brown,
Den,306,69,Horse,0,574,Brown,
Shower,822,70,Horse,8,369,Red,
Patio,490,71,Dog,8,256,Blue,
Den,734,72,Mule,0,665,Red,
Patio,129,73,Pig,8,453,Brown,
Patio,237,74,Dog,0,337,Brown,
Room,534,75,Dog,0,950,Brown,
Den,472,76,Mule,8,427,Maroon,
Den,155,77,Horse,8,863,Blue,
Den,243,78,Cat,8,393,Blue,
Patio,52,79,Dog,8,306,Blue,
Room,128,80,Dog,0,812,Brown,
Den,50,81,Mule,8,164,Brown,
Kitchen,760,82,Dog,0,761,Purple,
Patio,456,83,Horse,8,207,Purple,
Kitchen,748,84,Horse,8,724,Brown,
Kitchen,672,85,Horse,8,330,Blue,
Den,777,86,Horse,0,310,Brown,
Room,755,87,Dog,8,922,Maroon,
Shower,648,88,Mule,0,0,Brown,
Kitchen,870,89,Dog,8,483,Brown,
Den,230,90,Dog,0,173,Brown,
Kitchen,116,91,Horse,8,250,Red,
Den,329,92,Cat,0,354,Maroon,
Den,173,93,Dog,0,744,Maroon,
Room,325,94,Cat,0,736,Brown,
Kitchen,634,95,Pig,8,694,Maroon,
Shower,146,96,Horse,0,269,Brown,
Den,91,97,Pig,8,331,Blue,
Den,259,98,Pig,8,821,Brown,
Patio,801,99,Mule,0,495,Red,
Kitchen,781,100,Cat,0,42,Brown,
Shower,770,101,Cat,0,662,Blue,
Kitchen,699,102,Dog,0,536,Maroon,
Kitchen,316,103,Dog,0,363,Brown,
Shower,417,104,Dog,8,719,Maroon,
Room,568,105,Mule,8,468,Maroon,
Room,770,106,Cat,0,378,Red,
Kitchen,571,107,Cat,0,561,Purple,
Room,610,108,Horse,0,65,Blue,
Den,662,109,Mule,8,275,Maroon,
Room,946,110,Horse,0,80,Maroon,
Patio,51,111,Cat,0,107,Maroon,
Shower,273,112,Horse,8,713,Red,
Den,939,113,Pig,8,701,Blue,
Room,698,114,Dog,0,317,Blue,
Room,469,115,Horse,8,457,Red,
Shower,236,116,Horse,8,556,Purple,
Room,767,117,Pig,0,254,Maroon,
Room,900,118,Horse,0,874,Purple,
Shower,449,119,Pig,0,676,Maroon,
Kitchen,363,120,Horse,8,52,Brown,
Shower,117,121,Mule,0,722,Red,
Kitchen,493,122,Cat,8,278,Brown,
Den,821,123,Pig,8,739,Red,
Shower,443,124,Dog,8,140,Red,
Room,634,125,Dog,8,452,Purple,
Den,842,126,Horse,8,942,Blue,
Shower,362,127,Mule,8,753,Blue,
Den,261,128,Pig,0,760,Maroon,
Den,777,129,Horse,8,687,Maroon,
Kitchen,530,130,Cat,8,674,Blue,
Room,807,131,Pig,8,630,Blue,
Patio,325,132,Horse,8,453,Maroon,
Den,422,133,Cat,0,424,Red,
Shower,141,134,Pig,8,921,Maroon,
Den,241,135,Dog,8,277,Brown,
Patio,487,136,Pig,0,877,Maroon,
Den,915,137,Mule,8,22,Maroon,
Patio,821,138,Dog,0,819,Red,
Shower,515,139,Dog,8,45,Red,
Den,248,140,Horse,8,675,Brown,
Kitchen,734,141,Pig,0,193,Maroon,
Patio,89,142,Mule,0,469,Red,
Kitchen,228,143,Mule,0,214,Blue,
Room,227,144,Cat,8,929,Red,
Room,228,145,Pig,0,182,Maroon,
Den,930,146,Dog,0,462,Purple,
Patio,214,147,Mule,0,900,Brown,
Kitchen,822,148,Pig,8,380,Blue,
Den,253,149,Mule,8,620,Brown,
Kitchen,981,150,Dog,0,775,Purple,
Kitchen,393,151,Horse,8,536,Blue,
Den,798,152,Cat,0,698,Red,
Room,178,153,Dog,0,61,Blue,
Shower,298,154,Pig,0,595,Maroon,
Kitchen,113,155,Horse,0,165,Brown,
Room,95,156,Dog,8,20,Brown,
Kitchen,123,157,Mule,8,618,Blue,
Shower,328,158,Dog,0,320,Blue,
Shower,172,159,Dog,0,150,Blue,
Shower,728,160,Dog,8,93,Blue,
Den,637,161,Dog,0,2,Purple,
Kitchen,790,162,Mule,0,421,Red,
Den,475,163,Mule,8,913,Red,
Room,173,164,Horse,0,372,Purple,
Shower,592,165,Cat,0,903,Blue,
Kitchen,589,166,Cat,8,881,Brown,
Kitchen,683,167,Mule,0,222,Brown,
Room,490,168,Dog,8,70,Blue,
Shower,99,169,Mule,0,709,Maroon,
Room,505,170,Mule,0,500,Red,
Patio,633,171,Pig,0,319,Red,
Den,780,172,Horse,0,356,Maroon,
Den,474,173,Mule,8,122,Blue,
Shower,280,174,Pig,0,744,Purple,
Patio,547,175,Mule,8,31,Maroon,
Shower,198,176,Dog,8,381,Maroon,
Patio,799,177,Pig,0,469,Red,
Shower,749,178,Dog,0,298,Maroon,
Den,696,179,Mule,0,305,Blue,
Shower,308,180,Mule,8,332,Purple,
Room,576,181,Dog,8,344,Blue,
Shower,71,182,Horse,8,659,Brown,
Patio,522,183,Pig,8,6,Red,
Den,379,184,Pig,8,1,Purple,
Den,715,185,Cat,0,338,Brown,
Kitchen,672,186,Horse,0,945,Maroon,
Room,291,187,Dog,0,694,Purple,
Den,454,188,Pig,8,864,Maroon,
Shower,658,189,Pig,8,448,Blue,
Den,697,190,Mule,8,348,Purple,
Kitchen,24,191,Dog,8,655,Blue,
Patio,424,192,Horse,8,376,Blue,
Den,468,193,Mule,0,461,Purple,
Shower,393,194,Pig,0,831,Blue,
Patio,33,195,Horse,0,837,Blue,
Kitchen,588,196,Cat,0,180,Blue,
Den,253,197,Horse,8,753,Brown,
Den,45,198,Cat,8,669,Maroon,
Kitchen,303,199,Horse,0,104,Red,
Patio,654,200,Pig,0,493,Blue,
Patio,949,201,Mule,8,293,Red,
Shower,576,202,Dog,8,463,Brown,
Patio,691,203,Mule,0,153,Red,
Shower,778,204,Mule,8,830,Red,
Patio,697,205,Cat,0,377,Brown,
Shower,589,206,Mule,8,51,Purple,
Kitchen,362,207,Cat,0,939,Red,
Patio,540,208,Mule,8,218,Brown,
Patio,851,209,Mule,0,760,Maroon,
Shower,558,210,Cat,0,450,Red,
Kitchen,714,211,Dog,8,933,Brown,
Shower,54,212,Dog,0,950,Purple,
Kitchen,872,213,Horse,8,601,Brown,
Shower,258,214,Horse,0,846,Brown,
Room,881,215,Cat,0,472,Maroon,
Room,525,216,Horse,8,815,Maroon,
Patio,815,217,Pig,8,703,Maroon,
Kitchen,682,218,Mule,0,998,Blue,
Room,0,219,Mule,8,647,Red,
Kitchen,443,220,Dog,0,556,Brown,
Shower,680,221,Mule,8,476,Red,
Kitchen,513,222,Pig,0,523,Purple,
Kitchen,543,223,Mule,0,753,Purple,
Kitchen,731,224,Cat,0,473,Purple,
Shower,185,225,Dog,8,53,Maroon,
Shower,428,226,Dog,0,504,Purple,
Shower,171,227,Cat,8,633,Brown,
Patio,322,228,Dog,0,430,Purple,
Shower,478,229,Mule,8,864,Brown,
Shower,445,230,Horse,8,66,Blue,
Den,247,231,Pig,8,82,Purple,
Den,901,232,Mule,8,110,Purple,
Kitchen,394,233,Pig,8,900,Red,
Patio,406,234,Horse,8,188,Red,
Den,752,235,Dog,0,113,Maroon,
Shower,737,236,Pig,8,95,Red,
Room,754,237,Cat,0,904,Brown,
Room,463,238,Cat,8,786,Red,
